time,temperature_2m_min,temperature_2m_max,precipitation_sum
2022-01-01,-3.9,-0.8,2.2
2022-01-02,-12.3,-3.8,0.0
2022-01-03,-14.6,-8.3,0.0
2022-01-04,-10.5,-7.7,0.1
2022-01-05,-11.1,-5.4,5.0
2022-01-06,-4.3,0.4,1.2
2022-01-07,-7.9,-0.5,0.6
2022-01-08,-9.9,-3.9,0.3
2022-01-09,-6.5,-3.7,3.9
2022-01-10,-8.9,-6.4,4.9
2022-01-11,-13.0,-7.1,0.3
2022-01-12,-17.4,-12.5,0.1
2022-01-13,-19.0,-2.0,1.2
2022-01-14,-2.1,1.7,1.9
2022-01-15,-3.6,-2.0,1.4
2022-01-16,-7.1,-3.2,0.0
2022-01-17,-5.9,-1.9,3.2
2022-01-18,-9.7,-1.9,2.8
2022-01-19,-12.0,-6.1,0.1
2022-01-20,-5.7,-2.8,1.4
2022-01-21,-7.4,-3.0,4.0
2022-01-22,-7.5,-4.1,2.2
2022-01-23,-7.5,-4.5,0.3
2022-01-24,-11.8,-7.3,0.0
2022-01-25,-10.7,-8.0,0.7
2022-01-26,-9.2,-4.2,2.0
2022-01-27,-12.0,-6.9,0.0
2022-01-28,-8.8,-5.7,1.6
2022-01-29,-7.9,-5.4,3.0
2022-01-30,-6.4,-3.3,1.4
2022-01-31,-4.1,-1.6,4.5
2022-02-01,-5.7,-1.0,1.4
2022-02-02,-6.6,-3.4,0.1
2022-02-03,-8.7,-5.8,1.1
2022-02-04,-11.0,-6.0,0.9
2022-02-05,-12.0,-8.2,0.0
2022-02-06,-11.7,-6.8,2.8
2022-02-07,-7.8,-0.7,2.4
2022-02-08,-1.6,1.1,0.3
2022-02-09,-5.2,-0.8,0.4
2022-02-10,-2.1,1.1,1.2
2022-02-11,-3.2,0.7,0.2
2022-02-12,-5.2,-0.8,0.0
2022-02-13,-4.0,0.7,0.0
2022-02-14,-3.5,-0.1,0.0
2022-02-15,-4.7,0.6,0.0
2022-02-16,-6.1,-0.7,0.0
2022-02-17,-2.8,1.8,2.5
2022-02-18,-2.5,2.5,3.3
2022-02-19,-3.3,2.0,3.3
2022-02-20,-1.7,1.4,2.5
2022-02-21,-2.9,1.1,2.5
2022-02-22,1.0,3.2,3.4
2022-02-23,-3.7,1.3,0.7
2022-02-24,-5.5,-0.0,0.2
2022-02-25,-6.3,1.9,0.0
2022-02-26,-5.0,1.7,0.1
2022-02-27,-6.9,-0.8,0.0
2022-02-28,-9.4,0.2,0.0
2022-03-01,-13.2,1.2,0.0
2022-03-02,-11.2,1.8,0.0
2022-03-03,-9.8,2.6,0.0
2022-03-04,-7.4,-1.7,0.0
2022-03-05,-5.1,-0.8,0.3
2022-03-06,-9.4,-1.0,0.0
2022-03-07,-3.2,-0.3,1.2
2022-03-08,-8.6,-2.7,2.3
2022-03-09,-14.7,-6.4,0.0
2022-03-10,-16.3,-5.5,0.0
2022-03-11,-15.6,-1.1,0.0
2022-03-12,-10.6,-1.3,0.9
2022-03-13,-10.5,1.7,0.0
2022-03-14,-4.2,2.8,0.4
2022-03-15,-8.9,0.4,0.0
2022-03-16,-13.6,-1.0,0.0
2022-03-17,-13.6,-0.0,0.0
2022-03-18,-12.6,2.9,0.0
2022-03-19,-9.2,4.9,0.0
2022-03-20,-5.6,6.0,0.0
2022-03-21,-2.7,6.8,0.0
2022-03-22,-5.7,8.8,0.0
2022-03-23,-6.0,9.5,0.0
2022-03-24,-5.5,10.9,0.0
2022-03-25,-3.9,8.0,0.2
2022-03-26,-0.4,5.1,3.2
2022-03-27,-6.0,-0.8,1.4
2022-03-28,-8.0,3.0,6.6
2022-03-29,-5.1,1.1,0.5
2022-03-30,-9.3,-0.3,0.1
2022-03-31,-8.9,2.0,1.3
2022-04-01,-1.7,3.5,0.1
2022-04-02,-1.9,0.9,9.8
2022-04-03,-4.7,1.5,5.2
2022-04-04,-10.1,2.6,0.0
2022-04-05,-5.2,2.9,0.4
2022-04-06,-3.3,2.5,2.8
2022-04-07,-3.9,5.5,2.4
2022-04-08,3.5,14.5,0.5
2022-04-09,4.1,10.9,4.3
2022-04-10,4.5,8.3,6.1
2022-04-11,2.1,4.9,8.3
2022-04-12,1.6,11.9,4.9
2022-04-13,1.4,7.5,0.0
2022-04-14,-0.0,10.4,0.0
2022-04-15,-0.4,9.9,2.1
2022-04-16,0.8,5.0,3.7
2022-04-17,-1.1,6.4,0.0
2022-04-18,-2.2,10.3,0.0
2022-04-19,1.6,13.8,0.0
2022-04-20,3.6,14.1,0.0
2022-04-21,3.0,7.6,7.3
2022-04-22,1.6,11.6,0.0
2022-04-23,3.3,14.9,0.6
2022-04-24,4.6,12.9,3.9
2022-04-25,8.4,16.8,0.5
2022-04-26,7.4,15.6,0.1
2022-04-27,4.1,12.2,0.9
2022-04-28,1.5,7.5,0.1
2022-04-29,0.4,9.8,0.5
2022-04-30,0.3,7.3,0.2
2022-05-01,-1.9,12.8,0.6
2022-05-02,2.6,14.5,0.3
2022-05-03,5.9,17.3,0.4
2022-05-04,2.0,8.5,1.5
2022-05-05,-0.7,10.2,0.0
2022-05-06,4.0,15.5,0.1
2022-05-07,5.2,17.8,0.0
2022-05-08,8.9,17.2,2.0
2022-05-09,4.3,9.8,3.9
2022-05-10,2.6,9.4,0.1
2022-05-11,6.6,17.1,0.0
2022-05-12,5.4,21.5,6.1
2022-05-13,8.2,16.1,0.8
2022-05-14,7.3,16.3,0.5
2022-05-15,6.5,16.0,0.4
2022-05-16,7.4,13.8,0.4
2022-05-17,7.1,13.3,8.1
2022-05-18,6.5,14.8,0.4
2022-05-19,6.2,14.5,2.9
2022-05-20,4.2,12.2,0.0
2022-05-21,2.2,15.2,0.0
2022-05-22,3.7,11.5,0.0
2022-05-23,2.4,14.1,0.0
2022-05-24,5.6,8.7,0.0
2022-05-25,2.8,13.6,0.2
2022-05-26,5.6,19.6,6.6
2022-05-27,8.9,15.4,15.8
2022-05-28,4.9,12.5,2.9
2022-05-29,6.3,15.4,1.4
2022-05-30,5.0,19.6,0.0
2022-05-31,12.9,18.2,7.2
2022-06-01,10.3,22.7,0.2
2022-06-02,12.7,24.9,0.6
2022-06-03,11.7,19.4,4.3
2022-06-04,9.2,19.9,0.0
2022-06-05,10.3,18.0,2.5
2022-06-06,10.2,21.3,0.1
2022-06-07,8.9,20.3,0.0
2022-06-08,8.5,22.8,0.0
2022-06-09,9.6,26.7,0.0
2022-06-10,15.9,26.0,0.1
2022-06-11,12.8,25.2,0.0
2022-06-12,14.8,24.5,0.0
2022-06-13,14.1,23.9,7.9
2022-06-14,13.9,26.6,6.4
2022-06-15,11.9,19.5,0.0
2022-06-16,12.7,21.8,0.2
2022-06-17,10.7,20.7,8.8
2022-06-18,10.9,21.2,0.1
